"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"404","RT @USNatArchives: That time the @packers offered Gerald Ford $110 a game! #SuperBowl @Ford_Library https://t.co/Vd3bpfPJK6",FALSE,0,NA,2017-02-19 00:34:01,FALSE,NA,"833112369198940160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cohn_alysia",84,TRUE,FALSE,NA,NA
"405","RT @The_HelenKeller: Super Bowl last year vs. this year #SuperBowl https://t.co/7nMcP4OaEJ",FALSE,0,NA,2017-02-19 00:34:00,FALSE,NA,"833112364228546561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","senshi_senpai",8407,TRUE,FALSE,NA,NA
"406","#NFL #MVP 16-17 Black Gold #AaronRodgers Shadowbox Swatches Patch 4/5 https://t.co/Cm1WHNYbGa #SuperBowl #Forsale https://t.co/IbJa3fMlJu",FALSE,0,NA,2017-02-19 00:33:56,FALSE,NA,"833112347614932992",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Myong_Wisley",0,FALSE,FALSE,NA,NA
"407","RT @gagadaily: Which songs will @LadyGaga perform at the #SuperBowl?

Create a playlist on @AppleMusic with your dream set list and tweet i…",FALSE,0,NA,2017-02-19 00:33:37,FALSE,NA,"833112267709374465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dadziechamorro",1258,TRUE,FALSE,NA,NA
"408","RT @carlosgzz03: WOW!! @LadyGaga's #SuperBowl #HalftimeShow is officially the most watched musical event IN HISTORY! 
So proud of her! -ART…",FALSE,0,NA,2017-02-19 00:33:32,FALSE,NA,"833112246498754560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sorxu23",251,TRUE,FALSE,NA,NA
"409","RT @EW: .@LadyGaga's halftime show is the most-watched across all platforms in #SuperBowl history. https://t.co/3IKtNfChqm https://t.co/iUj…",FALSE,0,NA,2017-02-19 00:33:18,FALSE,NA,"833112187472318464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fabiogemotta",463,TRUE,FALSE,NA,NA
"410","RT @GMA: * MIC DROP *

Retweet if you loved @ladygaga!

#PepsiHalftime #SuperBowl #SB51 https://t.co/lGQPG3mYFv",FALSE,0,NA,2017-02-19 00:33:13,FALSE,NA,"833112164240150529",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MqQ8MDhhhRoW85N",5277,TRUE,FALSE,NA,NA
"411","RT @EW: .@LadyGaga's halftime show is the most-watched across all platforms in #SuperBowl history. https://t.co/3IKtNfChqm https://t.co/iUj…",FALSE,0,NA,2017-02-19 00:32:44,FALSE,NA,"833112046266884098",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","euanarib",463,TRUE,FALSE,NA,NA
"412","We announced our $50 Superbowl contest winner on Facebook #carrollsbestpatients #superbowl #eldersburgmd… https://t.co/MYriCTdOZB",FALSE,0,NA,2017-02-19 00:32:41,TRUE,NA,"833112032509562880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FreedomDDS",0,FALSE,FALSE,NA,NA
"413","RT @carlosgzz03: Amazed!! at #LADYGAGA Performance at the #SuperBowl Great energy !! ART by me <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
#gaga @ladygaga @gagadaily #SB51 #joanne #…",FALSE,0,NA,2017-02-19 00:32:38,FALSE,NA,"833112020341907456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JesusTo38666663",24,TRUE,FALSE,NA,NA
"414","RT @thexenigma: Celebrate #SuperBowl  Sunday while having fun with yo coworker's boyfriend. Remember coworkers aren't yo friends. <ed><U+00A0><U+00BD><ed><U+00B9><U+0083> https:/…",FALSE,0,NA,2017-02-19 00:32:33,FALSE,NA,"833111999320031232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xxxfreakshow",94,TRUE,FALSE,NA,NA
"415","RT @CaptRandomness: Congrats to the Deflatriots. Tom Shady and friends just won another ring #SB51 #SuperBowl #atlantashouldhavewon",FALSE,0,NA,2017-02-19 00:32:29,FALSE,NA,"833111981171290112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yuriy3bxmer",1,TRUE,FALSE,NA,NA
"416","RT @ABC7: THIS JUST IN: Patriots beat Falcons, 34-28, to win #SuperBowl 51 in overtime
https://t.co/1nN8S3HcmJ https://t.co/PY4ajDepSn",FALSE,0,NA,2017-02-19 00:32:21,FALSE,NA,"833111946740248578",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iEdYUm1OsPhUWpr",148,TRUE,FALSE,NA,NA
"417","RT @MJJLegion: Michael Jackson performing ‘Heal The World’ at the #SuperBowl  Halftime Show, 1993. We need this message now more than ever.…",FALSE,0,NA,2017-02-19 00:31:38,FALSE,NA,"833111767672827905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Longani_",1356,TRUE,FALSE,NA,NA
"418","RT @NPT1017: #SuperBowl #GOAT #12",FALSE,0,NA,2017-02-19 00:31:32,FALSE,NA,"833111741965934592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","oWYg4yK6uUOcl7K",2,TRUE,FALSE,NA,NA
"419","RT @ladygaga: So!!!!!!??? What did you guys think of the #PepsiHalftime show? I love performing for you <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #Gaga 
#SB51 #SuperBowl https://…",FALSE,0,NA,2017-02-19 00:31:31,FALSE,NA,"833111739889750020",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dadziechamorro",20651,TRUE,FALSE,NA,NA
"420","RT @NASA: Today, the @AtlantaFalcons are playing in #SB51. What does Atlanta look like from space? Check it out… #SuperBowl #SuperBowlSunda…",FALSE,0,NA,2017-02-19 00:31:10,FALSE,NA,"833111648265179136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pkBk0oAQCbmujCY",2267,TRUE,FALSE,NA,NA
"421","#kanyewest #beijing #stage #texture #superbowl https://t.co/6O8zKKub7f 3596",FALSE,0,NA,2017-02-19 00:30:14,FALSE,NA,"833111416542461952",NA,"<a href=""http://twt.googlecode.com"" rel=""nofollow"">twtcmd</a>","mes_recettes",0,FALSE,FALSE,NA,NA
"422","RT @MJJLegion: Michael Jackson performing ‘Heal The World’ at the #SuperBowl  Halftime Show, 1993. We need this message now more than ever.…",FALSE,0,NA,2017-02-19 00:29:48,FALSE,NA,"833111304554508288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alexis_Lynne_",1356,TRUE,FALSE,NA,NA
